n,direccion,status,http_code,elapsed_s,error
369,GALICIA 2809,OK,200.0,6.0467681884765625,
370,PEDRO LOZANO 4355,OK,200.0,5.030770301818848,
371,PIROVANO 547,OK,200.0,6.73586106300354,
372,BAHIA BLANCA 4747,OK,200.0,5.067586660385132,
373,RIGLOS 386,OK,200.0,4.350614070892334,
374,JUAN AGUSTIN GARCIA 4127,OK,200.0,6.122181177139282,
375,ZAPIOLA 3038,OK,200.0,5.672892808914185,
376,CARLOS CALVO 3234,OK,200.0,4.535650730133057,
377,BAHIA BLANCA 3124,OK,200.0,4.961994647979736,
378,SEVERO GARCIA GRANDE DE ZEQUEIRA 6854,OK,200.0,4.324801921844482,
379,ESCALADA 1442,OK,200.0,8.32375454902649,
380,MARISCAL FRANCISCO SOLANO LOPEZ 2734,ERROR,404.0,0.2632880210876465,HTTP 404
381,CUENCA 4916,OK,200.0,4.938286066055298,
382,LUIS LAGOS GARCIA 961,OK,200.0,5.157276153564453,
383,MEDEYROS 3482,OK,200.0,4.630934715270996,
384,ALMIRANTE DANIEL DE SOLIER 1168,OK,200.0,6.5951292514801025,
385,ROJAS 801,OK,200.0,7.42834210395813,
386,EMILIO MITRE 269,OK,200.0,6.427630424499512,
387,RUFINO JOSE CUERVO 2632,ERROR,404.0,0.4013230800628662,HTTP 404
388,BRAGADO 5426,OK,200.0,5.425978183746338,
389,CORONEL CARDENAS 2269,OK,200.0,5.920581817626953,
390,ESTADO DE PALESTINA 747,OK,200.0,5.089198350906372,
391,BESARES 1982,OK,200.0,6.27104640007019,
392,ENRIQUE OCHOA 1013,OK,200.0,4.978637218475342,
393,POSADAS 1528,OK,200.0,8.440170764923096,
394,ALMIRANTE F. J. SEGUI 308,OK,200.0,5.657499074935913,
395,FRANKLIN D. ROOSEVELT 3236,OK,200.0,4.646375894546509,
396,UNANUE 6026,OK,200.0,4.975649118423462,
397,CRISOSTOMO ALVAREZ 2739,OK,200.0,4.264213562011719,
398,DIAZ COLODRERO 2740,OK,200.0,5.161159992218018,
399,SAN PEDRO 3719,OK,200.0,4.835607528686523,
400,BENITO JUAREZ 1769,OK,200.0,5.951555013656616,
401,LEIVA 4442,OK,200.0,4.7469565868377686,
402,AV. RIESTRA 1251,OK,200.0,5.868265628814697,
403,GASCON 65,OK,200.0,7.4121294021606445,
404,CUENCA 1853,OK,200.0,5.1013922691345215,
405,TEODORO VILARDEBO 1952,OK,200.0,6.298973083496094,
406,SENILLOSA 1596,OK,200.0,5.333081245422363,
407,CONDE 4618,OK,200.0,8.557027101516724,
